Artikel	Lager	Bolag	Nollinventering	"Hantera saldo"	Timestamp	Klassificering	Skapad	Plockzon	"Vikt tolerans"	"Zon klass"	"Tillåt uppdrag"	"Ignorera EAN"	"Splitta helpalls gen. med"	"Automatiserat robotplock"	"Ej staplingsbar"	"Alltid farligt gods"	"Helpalls avvikelse %"
1010265	404	GG	Y	Y	"2024-10-04 00:08:29"	F					Y	False	0	False	N		
1010590	404	GG	Y	Y	"2024-10-04 00:10:01"	H					Y	False	0	False	N		
1010747	404	GG	Y	Y	"2024-10-04 00:14:52"	D					Y	False	0	False	N		
1010749	404	GG	Y	Y	"2024-10-04 00:11:49"	D					Y	False	0	False	N		
1010843	404	GG	Y	Y	"2025-10-02 10:44:15"	A					Y	False	0	False	Y		
1011198	404	GG	Y	Y	"2025-10-02 10:44:19"	A					Y	False	0	False	Y		
1011499	404	GG	Y	Y	"2024-10-04 00:09:55"	D					Y	False	0	False	N		
1011500	404	GG	Y	Y	"2024-10-04 00:14:06"	D					Y	False	0	False	N		
1011501	404	GG	Y	Y	"2024-10-04 00:14:29"	D					Y	False	0	False	N		
1011502	404	GG	Y	Y	"2024-10-04 00:13:29"	D					Y	False	0	False	N		
1011506	404	GG	Y	Y	"2024-10-04 00:08:16"	D					Y	False	0	False	N		
1011545	404	GG	Y	Y	"2024-10-03 09:20:45"	D					Y	False	0	False	N		
1011547	404	GG	Y	Y	"2024-10-04 00:16:45"	D					Y	False	0	False	N		
1011548	404	GG	Y	Y	"2024-10-04 00:14:29"	D					Y	False	0	False	N		
1011551	404	GG	Y	Y	"2024-10-04 00:08:51"	D					Y	False	0	False	N		
1011552	404	GG	Y	Y	"2024-10-04 00:15:25"	D					Y	False	0	False	N		
1011574	404	GG	Y	Y	"2024-10-04 00:14:31"	D					Y	False	0	False	N		
1011577	404	GG	Y	Y	"2024-10-04 00:14:26"	D					Y	False	0	False	N		
1011578	404	GG	Y	Y	"2024-10-04 00:11:32"	D					Y	False	0	False	N		
1011588	404	GG	Y	Y	"2024-10-04 00:08:16"	D					Y	False	0	False	N		
1011598	404	GG	Y	Y	"2024-10-03 10:21:58"	B					Y	False	0	False	N		
1011631	404	GG	Y	Y	"2024-10-04 00:13:02"	D					Y	False	0	False	N		
1011634	404	GG	Y	Y	"2024-10-04 00:14:56"	F					Y	False	0	False	N		
1011642	404	GG	Y	Y	"2024-10-04 00:12:15"	D					Y	False	0	False	N		
1011668	404	GG	Y	Y	"2024-10-04 00:11:31"	A					Y	False	0	False	N		
1011670	404	GG	Y	Y	"2024-10-04 00:13:02"	A					Y	False	0	False	N		
1011671	404	GG	Y	Y	"2024-10-04 00:13:28"	A					Y	False	0	False	N		
1011676	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1011677	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1011680	404	GG	Y	Y	"2024-10-04 00:11:49"	A					Y	False	0	False	N		
1011683	404	GG	Y	Y	"2024-10-04 00:12:15"	A					Y	False	0	False	N		
1011686	404	GG	Y	Y	"2024-10-04 00:10:02"	A					Y	False	0	False	N		
1011709	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1011720	404	GG	Y	Y	"2024-10-04 00:16:36"	A					Y	False	0	False	N		
1011723	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1011724	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1011725	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1011726	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1011728	404	GG	Y	Y	"2024-10-04 00:08:16"	A					Y	False	0	False	N		
1012389	404	GG	Y	Y	"2024-10-04 00:15:00"	H					Y	False	0	False	N		
1013748	404	GG	Y	Y	"2024-10-29 15:35:01"	H					Y	False	0	False	N		
1014647	404	GG	Y	Y	"2024-10-04 00:09:43"	H					Y	False	0	False	N		
1014649	404	GG	Y	Y	"2024-10-04 00:16:04"	F					Y	False	0	False	N		
1015149	404	GG	Y	Y	"2024-10-29 15:32:45"	E					Y	False	0	False	N		
