Lagerplats	Typ	Detalj	Clearing	X-koordinat	Y-koordinat	Timestamp	Multi	Sekvens	Checksiffra	"Visa saldo"	Påfyllning	"Max pall"	"Påfyllnings offset"	"Auto plac"	Klassificering	"Farligt gods"	Dimension
LS33035	B	H		0	0	"2024-12-19 08:30:17"	N	0	298	N	N	1	4				
LS33036	B	H		0	0	"2024-12-19 08:30:17"	N	0	373	N	N	1	4				
LS33044	B	H		0	0	"2024-12-19 08:30:17"	N	0	507	N	N	1	4				
LS33045	B	H		0	0	"2024-12-19 08:30:17"	N	0	697	N	N	1	4				
LS33046	B	H		0	0	"2024-12-19 08:30:17"	N	0	647	N	N	1	4				
LS34014	B	H		0	0	"2024-12-19 08:30:17"	N	0	347	N	N	1	4				
LS34015	B	H		0	0	"2024-12-19 08:30:17"	N	0	136	N	N	1	4				
LS34016	B	H		0	0	"2024-12-19 08:30:17"	N	0	125	N	N	1	4				
LS34024	B	H		0	0	"2024-12-19 08:30:17"	N	0	99	N	N	1	4				
LS34025	B	H		0	0	"2024-12-19 08:30:17"	N	0	296	N	N	1	4				
LS34026	B	H		0	0	"2024-12-19 08:30:17"	N	0	569	N	N	1	4				
LS34034	B	H		0	0	"2024-12-19 08:30:17"	N	0	216	N	N	1	4				
LS34035	B	H		0	0	"2024-12-19 08:30:17"	N	0	927	N	N	1	4				
LS34036	B	H		0	0	"2024-12-19 08:30:17"	N	0	732	N	N	1	4				
LS34044	B	H		0	0	"2024-12-19 08:30:17"	N	0	659	N	N	1	4				
LS34045	B	H		0	0	"2024-12-19 08:30:17"	N	0	779	N	N	1	4				
LS34046	B	H		0	0	"2024-12-19 08:30:17"	N	0	595	N	N	1	4				
LS35011	P	G		0	0	"2024-12-19 08:05:35"	N	0	759	N	Y	1	4				
LS35012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	606	N	Y	1	4				
LS35013	B	H		0	0	"2024-12-19 08:30:17"	N	0	551	N	N	1	4				
LS35014	B	H		0	0	"2024-12-19 08:30:17"	N	0	148	N	N	1	4				
LS35015	B	H		0	0	"2024-12-19 08:30:17"	N	0	132	N	N	1	4				
LS35021	P	G		0	0	"2024-12-19 08:05:35"	N	0	924	N	Y	1	4				
LS35022A	P	H		0	0	"2024-12-19 08:05:35"	N	0	388	N	Y	1	4				
LS35023	B	H		0	0	"2024-12-19 08:30:17"	N	0	843	N	N	1	4				
LS35024	B	H		0	0	"2024-12-19 08:30:17"	N	0	925	N	N	1	4				
LS35025	B	H		0	0	"2024-12-19 08:30:17"	N	0	131	N	N	1	4				
LS35031	P	G		0	0	"2024-12-19 08:05:35"	N	0	822	N	Y	1	4				
LS35032A	P	H		0	0	"2024-12-19 08:05:35"	N	0	340	N	Y	1	4				
LS35033	B	H		0	0	"2024-12-19 08:30:17"	N	0	515	N	N	1	4				
LS35034	B	H		0	0	"2024-12-19 08:30:17"	N	0	453	N	N	1	4				
LS35035	B	H		0	0	"2024-12-19 08:30:17"	N	0	547	N	N	1	4				
LS36011	P	G		0	0	"2024-12-19 08:05:35"	N	0	934	N	Y	1	4				
LS36012A	P	H		0	0	"2024-12-19 08:05:35"	N	0	395	N	Y	1	4				
LS36013	B	H		0	0	"2024-12-19 08:30:17"	N	0	531	N	N	1	4				
LS36014	B	H		0	0	"2024-12-19 08:30:17"	N	0	133	N	N	1	4				
LS36015	B	H		0	0	"2024-12-19 08:30:17"	N	0	97	N	N	1	4				
LS36021	P	G		0	0	"2024-12-19 08:05:35"	N	0	945	N	Y	1	4				
