"Dimension Id"	Beskrivning	Längd	Bredd	Höjd
101620		18	"6,5"	7
101621		5	23	35
101622		33	24	6
101623		"0,3"	4	42
101624		3	8	27
101625		"27,5"	"15,5"	11
101626		12	13	13
101627		22	22	8
101628		40	28	4
101629		43	37	49
101630		"7,5"	"24,5"	2
101631		"24,5"	"15,8"	"20,4"
101632		14	"3,5"	16
101633		10	"19,5"	"1,8"
101634		24	"1,5"	"0,5"
101635		45	35	37
101636		"0,1"	38	"0,7"
101637		19	"40,5"	"7,5"
101638		34	35	23
101639		"13,4"	"13,4"	"12,5"
101640		42	13	"6,5"
101641		170	76	"83,2"
101642		"170,7"	"27,5"	"32,4"
101643		14	10	"1,5"
101644		6	"22,5"	"1,6"
101645		48	9	32
101646		"2,5"	13	18
101647		12	13	46
101648		4	55	67
101649		55	57	72
101650		39	29	"10,5"
101651		"9,5"	"5,6"	"17,3"
101652		"4,19"	"3,18"	"27,62"
101653		"35,56"	"15,24"	"31,12"
101654		"2,1"	9	15
101655		3	"6,5"	"12,5"
101656		2	63	60
101657		"0,3"	"9,4"	"14,5"
101658		12	31	31
101659		"2,2"	15	27
101660		39	8	38
101661		14	14	15
101662		16	16	2
101663		20	40	3
101664		49	40	36
101665		"0,1"	38	2
101666		"0,1"	13	2
101667		10	8	8
101668		"1,5"	10	24
101669		5	"29,4"	"29,85"
101670		"21,5"	"30,3"	31
101671		40	20	27
101672		1	12	18
101673		4	53	56
101674		"5,7"	"5,7"	"19,7"
101675		"0,3"	4	58
101676		20	8	"31,5"
101677		12	13	"1,2"
101678		10	12	3
101679		23	"4,5"	3
101680		"38,5"	"24,5"	26
101681		20	5	27
101682		30	35	7
101683		"33,4"	"14,8"	"0,2"
101684		34	"22,5"	"2,6"
101685		8	"17,5"	"43,5"
101686		19	53	51
101687		61	39	33
101688		11	"8,5"	"6,5"
101689		47	32	3
101690		50	50	40
101691		30	40	20
101692		1	"14,5"	"23,5"
101693		10	30	40
101694		60	40	32
101695		117	77	"87,5"
101696		17	8	"11,5"
101697		14	8	4
101698		4	4	"22,5"
101699		115	52	10
101700		45	50	5
101701		"4,5"	"13,5"	"18,5"
101702		"4,2"	"7,5"	"9,7"
101703		"116,3"	103	"25,6"
101704		1	"7,5"	"11,4"
101705		9	11	3
101706		8	12	17
101707		25	21	18
101708		60	"5,2"	"2,4"
101709		"53,5"	"9,5"	"5,7"
101710		"4,5"	"4,5"	"10,2"
101711		"13,7"	"11,8"	"9,5"
101712		"0,1"	27	45
101713		14	17	11
101714		8	37	2
101715		"1,9"	"1,9"	"1,91"
101716		56	47	32
101717		32	14	16
101718		9	9	2
101719		4	12	29
101720		25	9	4
101721		6	"23,5"	"1,8"
101722		6	30	38
101723		29	39	5
101724		"7,5"	"8,9"	15
101725		"0,6"	"2,5"	"16,3"
101726		6	18	19
101727		"44,7"	21	"15,1"
101728		14	10	3
101729		2	5	22
101730		"12,5"	"12,5"	6
101731		65	73	24
101732		8	"28,5"	2
101733		47	47	75
101734		55	"30,5"	11
101735		"8,2"	"19,5"	"25,5"
101736		26	23	17
101737		56	30	28
101738		20	2	20
101739		35	20	2
101740		3	"3,5"	24
101741		27	30	"3,5"
101742		69	5	3
101743		"58,5"	"6,5"	3
101744		31	14	29
101745		"48,7"	16	"4,2"
101746		20	2	12
101747		17	9	4
101748		"5,8"	"22,5"	"22,7"
101749		35	7	6
101750		5	"19,5"	"28,5"
101751		"0,5"	"8,5"	44
101752		9	"29,5"	"1,8"
